customer_id,company,industry,country,signup_date,plan_level,billing_cycle,monthly_revenue,active_days,feature_usage_score,support_tickets,acquisition_channel,last_login_days_ago,nps_score,churned
1019,Stripe,Education,America,1/4/2024,Basic,monthly,$106.71 ,17,66%,1,Organic,15,10,0
1906,Notion,Healthcare,UK,9/20/2024,Pro,Annual,£267.45,16,74%,4,Google Ads,11,10,0
1767,Stripe,E-commerce,USA,4/9/2024,Pro,Monthly,$303.02 ,16,71%,2,google ads,17,10,0
1094,Zendesk,Real Estate,USA,4/10/2024,Pro,Annual,$155.26 ,16,74%,1,Google Ads,4,10,0
1924,Notion,FinTech,UK,11/4/2024,Pro,Monthly,£117.86,16,89%,0,Referral,2,10,0
1047,Salesforce,FinTech,DE,6/25/2024,Basic,Annual,€67.17,16,76%,0,Organic,4,10,0
2039,Stripe,Marketing,U.S.A.,23-11-2024,Basic,Annual,$128.02 ,15,57%,2,LinkedIn Ads,7,10,0
1840,Salesforce,FinTech,DE,3/4/2024,Basic,monthly,€165.55,15,55%,1,Organic,8,10,0
1826,Stripe,SaaS,Canada,6/11/2024,Basic,Monthly,$69.00 ,15,78%,1,Organic,2,10,0
1656,MarketPro,Healthcare,Canada,4/6/2024,Pro,Monthly,$222.42 ,15,89%,0,Referral,0,10,0
2123,Zendesk,E-commerce,USA,3/28/2024,Basic,Annual,$71.09 ,14,85%,4,Organic,6,10,0
1848,FinCorp,Healthcare,U.K.,7/9/2024,Enterprise,Annual,£1429.65,14,59%,0,google ads,15,10,0
1237,HubSpot,SaaS,United Kingdom,10/6/2024,Free,Monthly,£0.13,13,3%,6,Google Ads,33,10,0
1527,DataNest,SaaS,UK,1/18/2024,Enterprise,Annual,£1283.36,13,87%,3,Referral,2,10,0
1390,Salesforce,SaaS,DE,3/14/2024,Basic,monthly,€72.33,13,78%,3,Organic,10,10,0
1646,HubSpot,Healthcare,USA,12/23/2024,Pro,ANNUAL,$384.74 ,13,67%,2,Google Ads,7,10,0
1129,HubSpot,Healthcare,USA,2/20/2024,Basic,Monthly,$49.44 ,13,77%,2,Referral,16,10,0
1902,Cloudify,E-commerce,UK,11/3/2024,Enterprise,Annual,£1020.22,13,100%,1,Organic,5,10,0
1987,DataNest,Marketing,Germany,11/21/2024,Pro,Annual,€484.83,13,94%,0,Organic,30+,10,0
1829,Salesforce,SaaS,Germany,7/4/2024,Basic,ANNUAL,€2621.66,12,73%,5,LinkedIn Ads,2,10,0
1901,HubSpot,Education,UK,12/3/2024,Pro,Monthly,£229.57,12,95%,3,Organic,7,10,0
2179,Zendesk,Healthcare,USA,12/11/2024,Basic,Monthly,$115.48 ,12,94%,3,Organic,30+,10,0
1244,HubSpot,Education,UK,7/6/2024,Enterprise,ANNUAL,£904.86,12,87%,2,Referral,0,10,0
1112,Stripe,Education,Canada,17-06-2024,Enterprise,Annual,$660.03 ,11,92%,0,Organic,7,10,0
2107,DataNest,Healthcare,Germany,3/10/2024,Pro,Annual,€360.45,10,91%,2,Google Ads,9,10,0
1510,MarketPro,E-commerce,USA,10/3/2024,Pro,Annual,$121.24 ,10,99%,1,Organic,2,10,0
2031,Notion,Real Estate,USA,9/2/2024,Basic,Monthly,$239.90 ,9,82%,2,Organic,12,10,0
1598,HubSpot,FinTech,United Kingdom,1/26/2024,Pro,Monthly,£291.89,8,93%,0,google ads,5,10,0
1735,DataNest,Education,UK,3/25/2024,Pro,Annual,£176.8,7,78%,2,Google Ads,8,10,0
1007,Notion,E-commerce,Germany,27-06-2024,Basic,monthly,€182.61,7,77%,1,Organic,11,10,0
1148,MarketPro,E-commerce,Australia,9/4/2024,Basic,monthly,$38.49 ,6,61%,4,Organic,9,10,0
1507,HubSpot,SaaS,USA,11/21/2024,Basic,monthly,$124.06 ,6,64%,3,Organic,3,10,0
1711,Stripe,Marketing,Canada,2/5/2024,Pro,Annual,$198.72 ,6,96%,2,Organic,0,10,0
2185,DataNest,E-commerce,Germany,8/14/2024,Pro,monthly,€348.54,6,74%,2,Google Ads,17,10,0
1424,MarketPro,Marketing,Australia,4/4/2024,Enterprise,Annual,$175.04 ,6,89%,1,LinkedIn Ads,2,10,0
1483,MarketPro,Education,Australia,1/9/2024,Enterprise,ANNUAL,$224.69 ,6,77%,0,Organic,1,10,0
1752,DataNest,SaaS,UK,10/8/2024,Enterprise,Annual,£903.66,4,80%,1,Google Ads,7,10,0
1884,Zendesk,E-commerce,Australia,5/10/2024,Basic,Annual,$64.04 ,3,66%,1,LinkedIn Ads,11,10,0
1072,MarketPro,Healthcare,Australia,9/7/2024,Basic,Monthly,$149.36 ,2,76%,1,Organic,9,10,0
1655,Zendesk,Real Estate,USA,7/26/2024,Pro,Annual,$37.19 ,2,76%,0,Organic,1,10,0
2187,Zendesk,Marketing,USA,9/7/2024,Basic,Monthly,$177.04 ,2,74%,0,Organic,3,10,0
1388,Notion,E-commerce,USA,3/21/2024,Pro,monthly,$107.05 ,10+,93%,2,Organic,9,9,1
1000,Notion,SaaS,USA,12/4/2024,Pro,Annual,$133.10 ,10+,81%,6,Organic,44,9,1
1280,DataNest,Healthcare,DE,13-04-2024,Free,Monthly,€3.72,10+,40%,10,google ads,54,9,0
1532,Notion,Healthcare,USA,27-12-2024,Basic,Annual,$19.27 ,2,59%,4,Organic,13,9,1
1057,Salesforce,SaaS,Germany,24-03-2024,Basic,Monthly,€81.22,10+,71%,8,Direct,16,9,0
1341,DataNest,Education,DE,6/20/2024,Free,Monthly,€0.1,10+,74%,5,Organic,10,9,0
1110,Notion,E-commerce,UK,11/13/2024,Basic,monthly,£492.61,10+,71%,5,google ads,14,9,0
1056,Zendesk,SaaS,Australia,7/11/2024,Basic,Annual,$57.58 ,10+,61%,4,Organic,30+,9,0
1030,DataNest,FinTech,UK,1/21/2024,Pro,Monthly,£280.29,10+,98%,3,Organic,7,9,0
1256,FinCorp,Education,America,10/11/2024,Pro,monthly,$154.85 ,10+,61%,3,Organic,12,9,0
1159,MarketPro,Real Estate,Australia,15-04-2024,Basic,monthly,$55.45 ,10+,69%,3,Organic,15,9,0
1182,HubSpot,Healthcare,UK,2/6/2024,Free,Monthly,£1.65,10+,71%,3,Organic,29,9,0
2015,Salesforce,E-commerce,USA,8/5/2024,Basic,ANNUAL,$105.86 ,10+,73%,2,Direct,5,9,0
1041,MarketPro,SaaS,USA,9/10/2024,Pro,ANNUAL,$218.49 ,10+,56%,2,google ads,7,9,0
1694,Salesforce,E-commerce,USA,10/7/2024,Basic,monthly,$53.01 ,10+,64%,2,Organic,30+,9,0
1751,Zendesk,Marketing,Australia,6/9/2024,Pro,Monthly,$284.80 ,10+,98%,1,LinkedIn Ads,1,9,0
1659,HubSpot,E-commerce,USA,8/9/2024,Pro,monthly,$225.36 ,10+,78%,1,Organic,5,9,0
1688,MarketPro,Marketing,Canada,6/9/2024,Enterprise,Annual,$295.39 ,10+,90%,1,Organic,5,9,0
1825,Stripe,Education,Canada,7/13/2024,Basic,Monthly,$120.74 ,10+,73%,1,Organic,5,9,0
1285,Salesforce,SaaS,USA,9/15/2024,Pro,Annual,$194.00 ,10+,92%,0,Organic,7,9,0
1253,Zendesk,Healthcare,USA,2/13/2024,Basic,monthly,$72.78 ,93,58%,0,Organic,12,9,0
1257,MarketPro,Education,Australia,10/8/2024,Free,Monthly,$5.11 ,30,35%,3,Referral,30+,9,0
1032,Stripe,E-commerce,Canada,12/26/2024,Basic,monthly,$97.93 ,30,89%,2,Organic,7,9,0
1536,MarketPro,Real Estate,Canada,10/16/2024,Enterprise,Annual,"$3,319.70 ",30,89%,1,Google Ads,6,9,0
1617,MarketPro,E-commerce,Australia,9/4/2024,Pro,Annual,$340.27 ,29,64%,3,Google Ads,6,9,0
1398,MarketPro,Education,Canada,9/18/2024,Pro,monthly,$465.29 ,27,78%,3,Referral,3,9,0
1235,Notion,Education,U.K.,16-09-2024,Enterprise,Annual,£935.34,27,79%,0,Google Ads,7,9,0
1247,Cloudify,Education,UK,6/6/2024,Basic,Annual,£75.01,26,9%,6,Google Ads,22,9,0
1219,Stripe,E-commerce,America,12/7/2024,Free,Monthly,$17.27 ,26,50%,4,Referral,30,9,0
1997,Notion,FinTech,Germany,7/9/2024,Basic,monthly,€11.38,26,66%,2,Organic,5,9,0
1384,Notion,SaaS,U.K.,11/10/2024,Basic,Annual,£451.68,25,76%,2,Organic,9,9,0
1896,DataNest,FinTech,Germany,11/27/2024,Free,monthly,€63.93,24,32%,6,google ads,23,9,0
1345,Salesforce,Real Estate,Germany,23-02-2024,Pro,Monthly,€225.64,24,88%,1,Organic,7,9,0
1139,Zendesk,Real Estate,Australia,5/24/2024,Pro,ANNUAL,$107.28 ,24,93%,0,Organic,0,9,0
1223,DataNest,Education,DE,28-06-2024,Free,Monthly,€13.33,23,48%,3,Referral,21,9,0
2070,MarketPro,E-commerce,USA,9/2/2024,Enterprise,Annual,$344.62 ,23,97%,2,LinkedIn Ads,6,9,0
1177,DataNest,Real Estate,Germany,7/23/2024,Basic,Monthly,€104.56,22,66%,2,Organic,3,9,0
1910,HubSpot,Healthcare,United Kingdom,2/14/2024,Pro,ANNUAL,£438.75,22,98%,1,Organic,0,9,0
1304,Stripe,Education,Canada,9/17/2024,Pro,Annual,$260.88 ,22,84%,1,Organic,1,9,0
1952,HubSpot,SaaS,UK,10/8/2024,Pro,Monthly,£288.89,21,94%,2,Organic,5,9,0
1366,Salesforce,Marketing,Germany,16-07-2024,Basic,Monthly,€50.58,20,79%,2,Referral,15,9,0
2156,Salesforce,Education,Germany,12/2/2024,Basic,Monthly,€89.03,20,59%,2,LinkedIn Ads,30+,9,0
1640,Notion,Real Estate,U.K.,10/21/2024,Basic,Monthly,£226.04,20,89%,0,Organic,30+,9,0
1211,Stripe,Healthcare,America,11/3/2024,Basic,monthly,$48.18 ,19,71%,4,Organic,6,9,0
1938,Salesforce,Healthcare,USA,19-02-2024,Pro,Monthly,$108.90 ,19,57%,4,Google Ads,17,9,0
1233,HubSpot,Marketing,UK,7/3/2024,Pro,Monthly,£127.85,19,89%,2,Organic,0,9,0
2138,MarketPro,SaaS,Canada,8/11/2024,Pro,Annual,$137.24 ,19,97%,2,LinkedIn Ads,5,9,0
1554,Salesforce,Marketing,USA,7/18/2024,Basic,Annual,$28.57 ,18,90%,4,Organic,3,9,0
1205,FinCorp,Education,UK,6/4/2024,Basic,Annual,£29.64,17,68%,4,Organic,28,9,0
1202,Salesforce,Healthcare,DE,5/2/2024,Free,Monthly,€5.51,16,45%,3,Organic,19,9,0
1352,MarketPro,E-commerce,USA,1/16/2024,Free,monthly,$38.25 ,15,63%,3,Organic,10,9,0
1035,Notion,FinTech,UK,7/4/2024,Basic,Annual,£159.32,15,94%,3,LinkedIn Ads,12,9,0
1402,Zendesk,FinTech,USA,5/12/2024,Basic,Annual,$44.36 ,14,85%,2,Organic,7,9,0
1018,MarketPro,Healthcare,Australia,9/25/2024,Pro,monthly,$186.92 ,14,73%,2,Google Ads,12,9,0
1054,Salesforce,FinTech,Germany,9/22/2024,Basic,Monthly,€266.73,14,65%,1,Organic,5,9,0
1179,FinCorp,Education,U.S.A.,2/8/2024,Free,Monthly,$1.66 ,13,30%,3,Organic,23,9,0
1819,DataNest,Real Estate,DE,7/23/2024,Enterprise,Annual,€1172.69,13,85%,0,Organic,5,9,0
1833,Salesforce,SaaS,DE,3/24/2024,Pro,Annual,€398.18,13,93%,0,Organic,5,9,0
1466,Zendesk,Real Estate,Australia,23-10-2024,Basic,monthly,$110.13 ,13,81%,0,Organic,16,9,0
1361,Notion,E-commerce,U.K.,6/11/2024,Pro,Annual,£59.08,12,75%,3,Organic,3,9,0
1020,Notion,SaaS,USA,3/5/2024,Pro,ANNUAL,$251.64 ,12,80%,0,Organic,1,9,0
1666,Notion,Education,UK,3/21/2024,Pro,Annual,£175.93,12,100%,0,Organic,6,9,0
1758,HubSpot,Healthcare,UK,28-09-2024,Basic,Monthly,£9.64,11,64%,3,Organic,8,9,0
1196,Salesforce,Healthcare,USA,9/25/2024,Enterprise,ANNUAL,"$2,092.88 ",11,88%,0,Organic,0,9,0
1930,MarketPro,Real Estate,Canada,8/16/2024,Pro,Monthly,$294.14 ,10,75%,2,Referral,5,9,0
1183,DataNest,Real Estate,DE,11/19/2024,Pro,Monthly,€635.25,10,94%,0,Referral,7,9,0
1335,MarketPro,FinTech,Canada,2/20/2024,Pro,Annual,$107.30 ,9,94%,4,Organic,0,9,0
1240,MarketPro,Marketing,USA,3/6/2024,Pro,Annual,$330.01 ,9,92%,4,google ads,5,9,0
1240,MarketPro,Marketing,USA,3/6/2024,Pro,Annual,$330.01 ,9,92%,4,google ads,5,9,0
1630,HubSpot,FinTech,UK,12/17/2024,Basic,ANNUAL,£32.52,7,67%,3,Referral,23,9,0
1970,Notion,Healthcare,USA,3/28/2024,Free,Monthly,$9.53 ,7,36%,3,Google Ads,31,9,0
1671,FinCorp,FinTech,Australia,1/12/2024,Pro,Monthly,$83.10 ,7,70%,2,Organic,11,9,0
1506,Stripe,Education,USA,5/16/2024,Enterprise,Annual,$854.99 ,7,78%,0,Organic,3,9,0
2009,DataNest,Real Estate,UK,5/11/2024,Basic,ANNUAL,£57.08,6,68%,3,Organic,15,9,0
1339,FinCorp,Healthcare,U.K.,16-10-2024,Basic,Monthly,£171.93,6,63%,3,Referral,30,9,0
1522,Notion,SaaS,Germany,11/22/2024,Basic,monthly,€128.18,6,81%,2,Organic,3,9,0
1160,Cloudify,SaaS,USA,14-06-2024,Free,Monthly,$23.18 ,5,40%,3,Organic,45,9,0
1087,FinCorp,Education,USA,16-04-2024,Basic,ANNUAL,$115.95 ,4,36%,5,Google Ads,44,9,0
1008,Salesforce,E-commerce,DE,12/22/2024,Pro,ANNUAL,€439.38,4,98%,1,Organic,2,9,0
1327,Cloudify,E-commerce,India,7/22/2024,Basic,Monthly,$483.94 ,3,56%,5,Organic,19,9,0
1633,Salesforce,SaaS,Germany,6/12/2024,Pro,Annual,€45.55,3,66%,3,Google Ads,15,9,0
1667,Stripe,E-commerce,USA,6/2/2024,Pro,Annual,$536.10 ,3,55%,1,Google Ads,4,9,0
1470,Cloudify,Education,India,8/1/2024,Pro,Monthly,$48.43 ,2,87%,1,Organic,12,9,0
1949,DataNest,SaaS,DE,10/24/2024,Basic,Monthly,€45.64,1,61%,6,Organic,7,9,0
1070,DataNest,FinTech,DE,4/27/2024,Basic,Annual,€66.63,1,79%,3,Organic,3,9,0
1620,Zendesk,Education,Australia,25-04-2024,Pro,Annual,$54.52 ,1,87%,2,Google Ads,11,9,0
1542,MarketPro,Marketing,Canada,11/24/2024,Pro,Annual,$152.44 ,1,57%,2,google ads,30+,9,0
1996,HubSpot,Real Estate,USA,1/26/2024,Free,Monthly,$3.09 ,10+,19%,8,google ads,23,8,0
1664,HubSpot,Real Estate,USA,2/25/2024,Free,Monthly,$7.06 ,10+,10%,8,Google Ads,41,8,0
1489,Salesforce,Marketing,DE,16-11-2024,Pro,monthly,€683.14,17,92%,7,LinkedIn Ads,1,8,1
2029,DataNest,E-commerce,DE,5/5/2024,Basic,Monthly,€38.28,10+,57%,3,Organic,23,8,1
1278,FinCorp,Marketing,U.K.,10/28/2024,Pro,Monthly,£439.29,16,63%,0,Organic,30+,8,1
1241,,FinTech,India,10/9/2024,Basic,monthly,$41.21 ,4,69%,5,Organic,30+,8,1
1561,Salesforce,Education,DE,18-12-2024,Basic,ANNUAL,€26.65,10+,81%,6,Organic,11,8,0
1107,Zendesk,FinTech,USA,10/1/2024,Free,Monthly,$2.57 ,10+,35%,6,google ads,23,8,0
1820,Zendesk,Education,USA,2/5/2024,Pro,monthly,$188.28 ,10+,75%,5,google ads,11,8,0
1820,Zendesk,Education,USA,2/5/2024,Pro,monthly,$188.28 ,10+,75%,5,google ads,11,8,0
1243,Zendesk,Healthcare,Australia,11/13/2024,Free,Monthly,$0.69 ,10+,44%,5,google ads,32,8,0
1606,Zendesk,Real Estate,Australia,18-09-2024,Basic,Monthly,$62.93 ,10+,62%,4,Referral,17,8,0
2014,Salesforce,SaaS,Germany,11/28/2024,Basic,monthly,€44.44,10+,88%,3,Organic,6,8,0
1351,MarketPro,Marketing,Australia,8/8/2024,Pro,Monthly,$39.67 ,10+,76%,3,google ads,30+,8,0
1887,MarketPro,Real Estate,USA,1/2/2024,Pro,Annual,$44.92 ,10+,90%,2,Referral,0,8,0
1984,DataNest,FinTech,Germany,6/23/2024,Pro,Annual,€94.69,10+,90%,2,Organic,5,8,0
1613,DataNest,FinTech,DE,4/28/2024,Pro,Monthly,€220.95,10+,66%,2,Google Ads,7,8,0
2173,HubSpot,Healthcare,UK,11/25/2024,Basic,Monthly,£182.38,10+,56%,2,Organic,3,8,0
1173,DataNest,SaaS,UK,5/2/2024,Pro,ANNUAL,£50.66,10+,99%,1,Organic,1,8,0
2195,HubSpot,FinTech,USA,7/23/2024,Pro,monthly,$40.84 ,10+,83%,1,Organic,1,8,0
1248,Salesforce,Education,USA,9/15/2024,Enterprise,ANNUAL,$386.17 ,10+,77%,1,google ads,4,8,0
1490,HubSpot,Marketing,United Kingdom,4/8/2024,Pro,Annual,£126.23,10+,94%,1,Organic,6,8,0
1310,MarketPro,Education,Canada,24-08-2024,Enterprise,ANNUAL,$976.46 ,10+,85%,1,Google Ads,7,8,0
1282,Salesforce,SaaS,USA,7/22/2024,Basic,monthly,$124.77 ,10+,80%,1,Organic,8,8,0
1699,MarketPro,Healthcare,Australia,7/15/2024,Pro,Monthly,$228.06 ,10+,82%,1,Google Ads,15,8,0
1877,MarketPro,Education,Australia,19-03-2024,Pro,Annual,$498.07 ,10+,79%,0,Referral,6,8,0
1436,HubSpot,Marketing,USA,6/26/2024,Pro,ANNUAL,$239.11 ,30,89%,5,google ads,11,8,0
1374,Zendesk,Real Estate,Australia,27-02-2024,Basic,Monthly,$15.89 ,30,78%,2,Organic,14,8,0
1288,DataNest,Marketing,Germany,2/8/2024,Pro,ANNUAL,€195.87,30,92%,0,Organic,6,8,0
1592,Cloudify,Healthcare,India,3/5/2024,Free,monthly,$0.53 ,29,42%,6,Organic,23,8,0
1919,Notion,FinTech,U.K.,17-03-2024,Free,monthly,£6.3,29,38%,4,Google Ads,22,8,0
2000,FinCorp,Healthcare,Canada,5/19/2024,Enterprise,Annual,$196.24 ,29,79%,1,Organic,7,8,0
1224,Stripe,SaaS,USA,11/13/2024,Pro,Annual,$105.37 ,29,91%,0,Referral,6,8,0
1114,Notion,SaaS,USA,3/10/2024,Pro,Annual,$332.53 ,28,88%,1,Google Ads,10,8,0
1881,FinCorp,Healthcare,America,9/23/2024,Pro,Annual,$71.88 ,27,65%,6,Organic,9,8,0
1315,HubSpot,SaaS,USA,11/2/2024,Free,Monthly,$1.39 ,27,39%,3,Organic,17,8,0
1260,HubSpot,SaaS,United Kingdom,3/27/2024,Pro,Monthly,£244.43,27,94%,0,Organic,4,8,0
1907,MarketPro,SaaS,Australia,9/23/2024,Basic,Annual,$103.45 ,26,85%,2,Organic,12,8,0
1771,Zendesk,Healthcare,USA,2/10/2024,Basic,Monthly,$221.09 ,26,89%,2,Organic,3,8,0
1322,Salesforce,SaaS,Germany,28-11-2024,Pro,ANNUAL,€192.64,26,88%,1,Referral,0,8,0
1265,Zendesk,Healthcare,Australia,18-05-2024,Enterprise,Annual,"$1,453.72 ",26,90%,1,Organic,4,8,0
1363,HubSpot,Education,United Kingdom,7/20/2024,Pro,Annual,£157.34,26,64%,1,google ads,3,8,0
1654,MarketPro,E-commerce,USA,18-01-2024,Enterprise,Annual,"$1,548.14 ",25,80%,4,Organic,1,8,0
1320,HubSpot,FinTech,USA,8/4/2024,Free,Monthly,$2.56 ,24,43%,4,Referral,33,8,0
1737,Salesforce,FinTech,Germany,5/11/2024,Pro,Monthly,€697.47,24,69%,4,Google Ads,30+,8,0
1026,DataNest,Real Estate,Germany,2/4/2024,Basic,Annual,€43.6,24,71%,2,Organic,4,8,0
1038,HubSpot,SaaS,United Kingdom,1/15/2024,Enterprise,Annual,£1242.89,24,87%,1,Organic,4,8,0
1472,Salesforce,E-commerce,USA,25-06-2024,Pro,Annual,$347.63 ,24,96%,0,Organic,4,8,0
1883,HubSpot,E-commerce,UK,9/11/2024,Pro,Monthly,£197.57,23,92%,1,Organic,2,8,0
1548,Stripe,Healthcare,America,4/21/2024,Pro,Monthly,$134.33 ,23,82%,0,Organic,6,8,0
1622,Salesforce,SaaS,DE,6/17/2024,Free,Monthly,€26.24,22,49%,9,Organic,27,8,0
2028,Stripe,E-commerce,USA,7/4/2024,Pro,Annual,$69.15 ,21,86%,2,Organic,7,8,0
1614,MarketPro,SaaS,Australia,4/20/2024,Basic,Monthly,$329.54 ,21,33%,2,Google Ads,23,8,0
1649,Cloudify,Healthcare,USA,4/24/2024,Pro,ANNUAL,$92.20 ,21,69%,1,Organic,10,8,0
2176,Cloudify,Marketing,India,2/2/2024,Free,Monthly,$14.56 ,20,35%,3,Referral,42,8,0
2111,Salesforce,E-commerce,USA,12/15/2024,Basic,Monthly,$109.29 ,20,74%,2,Direct,16,8,0
1790,Stripe,Education,U.S.A.,13-11-2024,Enterprise,Annual,"$1,523.85 ",20,86%,1,Organic,5,8,0
1605,HubSpot,SaaS,UK,9/9/2024,Free,Monthly,£13.94,19,41%,4,Google Ads,30+,8,0
1835,Stripe,SaaS,U.S.A.,1/3/2024,Basic,monthly,$97.57 ,19,56%,2,Referral,17,8,0
1126,Notion,SaaS,UK,11/10/2024,Pro,Monthly,£301.05,19,96%,1,Referral,6,8,0
1385,Salesforce,SaaS,Germany,2/23/2024,Basic,Annual,€109.91,19,79%,0,Organic,15,8,0
1485,FinCorp,SaaS,U.K.,11/23/2024,Free,Monthly,£10.82,18,44%,4,Organic,21,8,0
1813,Notion,SaaS,U.K.,12/8/2024,Basic,monthly,£259.37,18,76%,2,Organic,10,8,0
1851,Notion,Healthcare,U.K.,2/8/2024,Pro,Annual,£158.91,18,89%,0,Organic,6,8,0
1631,Salesforce,Marketing,Germany,5/6/2024,Free,Monthly,€9.64,17,70%,4,Organic,23,8,0
1552,DataNest,Healthcare,UK,1/25/2024,Enterprise,Annual,£160.07,17,78%,2,Referral,7,8,0
1270,Salesforce,FinTech,USA,11/17/2024,Enterprise,ANNUAL,$208.89 ,17,90%,0,Google Ads,1,8,0
2142,Stripe,Healthcare,USA,10/20/2024,Basic,Monthly,$185.78 ,16,87%,2,Organic,9,8,0
1017,Stripe,Marketing,America,5/27/2024,Pro,Annual,$182.37 ,16,78%,2,google ads,10,8,0
1153,HubSpot,FinTech,UK,3/24/2024,Enterprise,ANNUAL,£3829.24,16,84%,1,google ads,5,8,0
1753,Zendesk,FinTech,USA,2/1/2024,Basic,monthly,$132.67 ,15,68%,3,Organic,4,8,0
